question,answer
"What is SourceDeck?","SourceDeck is the Lead Command Center for leads, follow-up, and workflow. It gives operators one place to track leads, manage outreach, watch follow-up, and see where the work is getting stuck — so tasks and opportunities stop falling through the cracks."
"Who is SourceDeck for?","SourceDeck is built for small teams that have outgrown spreadsheets, scattered tools, and manual follow-up. That typically means founders, agencies, contractors, consultants, and service businesses that need more visibility and less friction."
"What problem does SourceDeck solve?","Most teams do not have a lead problem — they have a tracking problem. SourceDeck fixes the leaks that show up when leads live in one place, follow-up happens somewhere else, and workflow depends on memory, inboxes, or manual handoffs."
"What can I do inside SourceDeck?","Track leads, manage outreach, watch follow-up, organize workflow, spot bottlenecks, see what is moving vs. what is stalled, and know what needs attention next — all in one dashboard."
"How does SourceDeck work in one sentence?","It moves your leads, outreach, follow-up, and workflow into one surface so you can see where the business is actually slowing down and act on it."
"How do I get started?","Pick a plan on the pricing section, create your workspace, connect your integrations (Airtable, email sender, Instantly), set your lead criteria, then launch your first campaign. A first-time workspace opens blank — no sample data, no pre-installed keys."
"What does a first-time setup look like?","Four steps: (1) open the workspace, which starts blank; (2) connect integrations — Airtable PAT, email provider, Instantly key, and any optional providers; (3) define lead criteria such as NAICS codes, cities, industries, and exclusions; (4) launch your first campaign with a sender, sequence, and routing filter."
"What plans and pricing does SourceDeck offer?","SourceDeck has three tiers: Core at $79/month (Visibility), Pro at $349/month (Control), and Operator at $999/month (Revenue System). Pricing is shown live on sourcedeck.app."
"What is in the Core plan?","Core is $79/month. It covers tracking leads, tasks, and workflow in one system, identifying bottlenecks and delays, and basic operational reporting. Designed for operators who need to see what is actually happening."
"What is in the Pro plan?","Pro is $349/month. It includes everything in Core plus real-time bottleneck alerts, automated workflow handoffs, and the full operational visibility dashboard. Designed for teams losing revenue to workflow breakdown."
"What is in the Operator plan?","Operator is $999/month. It includes everything in Pro plus multi-user workflow orchestration, advanced reporting and performance tracking, and is built for scaling teams. Operator is proposal-led — you request it through the quote flow rather than self-checkout."
"Which plan should I choose?","Start with Core if you need visibility into what is actually happening. Choose Pro if workflow breakdown is costing you revenue and you need alerts and automated handoffs. Choose Operator if you are a scaling team that treats revenue loss as unacceptable."
"Is there a free trial?","Pricing and sign-up run through the plan pages on sourcedeck.app. Any trial, discount, or starter offering will be shown directly on the pricing page at the moment you check out."
"How do I pay for SourceDeck?","Card payments run through Stripe on the plan page. Invoice payment is available for Pro through the /quote/pro/ request page, and Operator is always proposal-led through /quote/operator/."
"Can I pay by invoice instead of card?","Yes. Pro can be purchased by invoice via the /quote/pro/ flow. Operator is invoice/proposal only — use /quote/operator/ to request terms."
"What is the legacy pricing I see on older pages?","Older $49 and $149 subscriptions are grandfathered for existing subscribers only. New sign-ups always use current list pricing: Core $79, Pro $349, Operator $999."
"Is SourceDeck a desktop app or a web app?","Both. SourceDeck has a web app at sourcedeck.app/app and a desktop app for macOS (Apple Silicon and Intel) and Windows. The desktop app is the same Lead Command Center engine, packaged for offline-capable use with OS-level key storage."
"How do I download the desktop app?","From the home page on sourcedeck.app, use the Desktop app buttons under the hero. You can also go directly to https://github.com/thekidd2227/sourcedeck-releases/releases/latest to see all downloads."
"Which Mac should I pick — Apple Silicon or Intel?","Pick Apple Silicon (arm64) if your Mac has an M1, M2, M3, or M4 chip. Pick Intel (x64) for older Intel-based Macs. If you are unsure, open About This Mac and look at the Chip or Processor line."
"How do I install SourceDeck on Mac?","Download the DMG, open it, and drag SourceDeck.app to your Applications folder. On first launch, because the current build is unsigned, right-click the app and choose Open to approve it. After that, it launches normally."
"Why does macOS say SourceDeck is unsigned or unverified?","The current build is not yet code-signed with an Apple Developer ID. This is a macOS Gatekeeper warning, not a malware warning. Right-click SourceDeck.app and choose Open the first time you launch; macOS will remember the exception."
"How do I install SourceDeck on Windows?","Download the Windows installer and run it. Choose your install location when prompted. The installer uses NSIS and lets you change the default directory."
"Is the Windows build available yet?","macOS installers are live. The Windows installer is produced through the build pipeline on GitHub — if the Windows button returns a not-found error, the most recent release did not include Windows yet. Use the 'See all downloads' link to check the latest release assets."
"Where can I find the SourceDeck user manual?","The SourceDeck user manual is a 7-page document that ships with the product. It covers what SourceDeck is, first-time setup, API keys, lead criteria, campaigns, funnel health, pricing and checkout, resetting a workspace, and support."
"What does the user guide cover?","Cover, table of contents, product and setup, integrations and criteria, building and launching campaigns, funnel health and revenue, managing pricing and checkout, workspace reset, customer data protection, and how to reach support."
"What integrations does SourceDeck require?","Required integrations: an Airtable personal access token (scoped to your base), an Instantly API key, and your email sender domain. Optional integrations: Apollo, SerpAPI, Hunter, and either OpenAI or Anthropic for AI features."
"What optional integrations does SourceDeck support?","Optional providers include Apollo, SerpAPI, Hunter, and your choice of OpenAI or Anthropic. These add capabilities but are not required to run the product."
"Where are my API keys stored?","SourceDeck is bring-your-own-keys. Every key is stored locally to your workspace. On the desktop app, keys are encrypted using the operating system keychain through Electron safeStorage. Keys never leave your device except during an integration call."
"Does SourceDeck ship with any keys or prior data?","No. Every workspace ships blank. No prior leads, no test data, no shared keys. You add your own credentials on first setup."
"How do I set my lead criteria?","In Settings, define geography (cities, metros, or states), target industries mapped to NAICS codes, and exclusions. Exclusions typically cover role inboxes, free-mailbox domains, and prior-contacted fingerprints. Narrower criteria plus strict email validation keeps the queue clean."
"What are NAICS codes and do I have to use them?","NAICS codes are the federal industry classification system. SourceDeck uses them to target specific industries during lead discovery. You can map multiple industries per campaign, and you can also use plain industry or geography filters alongside them."
"How do I build a campaign?","A campaign has three parts: a sender (at least one warmed mailbox), a sequence (SourceDeck's default is a 4-step diagnosis → pricing sequence), and a routing filter that only enrolls MX-verified, non-role, non-free-mailbox leads. Set a daily cap, then activate."
"What does the default email sequence look like?","Four steps. Email 1 diagnoses the problem, Email 2 exposes the pattern, Email 3 names the system, Email 4 closes on pricing. Stop-on-reply is on by default so replies never get a second touch."
"What is a safe daily send cap to start with?","Start at 25 per day per sender. Ramp by +10 per day only if bounces stay under 2% on the last 50 sends. If bounce rate crosses 3% on the last 50, pause immediately and tighten criteria."
"What happens if my bounce rate gets too high?","If bounce rate exceeds 3% on the last 50 sends, SourceDeck's operating rule is to pause the campaign, audit the queue, and resume only after the next fresh batch returns under 2%. The product will not protect you from bad criteria — that discipline lives with the operator."
"How does SourceDeck protect deliverability?","Campaigns start paused by default so you can verify the enrollment list and sequence previews before any send. Stop-on-reply is on. Link tracking is only enabled on the pricing-CTA email so intent is measurable without adding noise. Open tracking is off."
"Does SourceDeck track opens?","No. Open tracking is off. Link tracking is only enabled on the pricing-CTA email so you can measure intent without sending tracked emails that feel like mass outreach."
"What is the Funnel Health view?","Funnel Health shows where leads drop and where revenue lives, per campaign, per plan, per day. It tracks the full funnel: Qualified → Enrolled → Sent → Replied → Pricing click → Checkout start → Paid. The biggest stage-to-stage gap tells you what to fix next."
"How does SourceDeck report revenue?","The Funnel Health surface tracks total revenue, revenue by plan, MRR, and average revenue per conversion, alongside stage-to-stage conversion so you can see where revenue is being lost vs. captured."
"Can I reset my workspace?","Yes. Reset is one click. It wipes every workspace artifact — API keys, cached leads, saved searches, templates, analytics, and event history. The next launch opens in the same blank state a first-time user sees."
"What does a reset actually clear?","Reset clears localStorage, sessionStorage, cached analytics, every stored key, every cached lead, every saved search, every template, and all event history tied to the workspace. Nothing is silently retained."
"Does SourceDeck have a demo mode?","Yes, demo mode exists for evaluation only. It is never auto-loaded into a live workspace and cannot contaminate real data. You can explore the product shape without touching production."
"How do I get support?","In-product chat is available 24/7 for setup, pricing, and configuration questions. Operator-tier customers also get a named operator and a direct line for scoped rollout. Security reviews, DPAs, and procurement requirements are handled through the proposal request."
"What support is included with each tier?","All plans get the in-product chatbot for setup, pricing, and configuration questions. Operator adds a named operator and direct-line support plus handling for security reviews, DPAs, and procurement."
"Can you sign a DPA or answer security questions?","Yes — DPA, security review, and procurement requirements are handled through the Operator proposal request at /quote/operator/."
"How does SourceDeck protect customer data?","Every workspace is treated as a sealed unit. Keys and leads never leave the device except during an explicit API call. Exports are opt-in. Logs are workspace-scoped. No prior operator data is ever shipped with SourceDeck — every install is sanitized."
"Is my data shared with other SourceDeck customers?","No. Workspaces are sealed units. Keys are namespaced and switching workspaces swaps credentials atomically with no cross-contamination."
"Does SourceDeck work offline?","The desktop app is offline-capable. Integration calls obviously require network access (sending email, querying Airtable, etc.), but the workspace itself, stored leads, and saved settings are held on your device."
"How do auto-updates work?","The desktop app uses electron-updater to check GitHub Releases automatically. When a new version is available, it downloads in the background and installs on next launch."
"How often will SourceDeck update?","Updates ship when there is something substantial to add or fix. Auto-update runs in the background and installs on next launch, so you generally do not have to do anything."
"Do I have to use the desktop app?","No. SourceDeck runs in the browser at sourcedeck.app/app. The desktop app is a convenience — same engine, same features, with OS-level key storage and offline-capable use."
"What is the difference between the web and desktop versions?","Same Lead Command Center engine. Web runs in your browser. Desktop runs as a native app, stores API keys in the OS keychain through Electron safeStorage, and supports auto-updates."
"What operating systems does SourceDeck support?","macOS on Apple Silicon (M1/M2/M3/M4) and Intel x64, and Windows x64. The browser version runs on any modern browser."
"What browsers work with SourceDeck?","SourceDeck's web app works on current Chrome, Safari, Firefox, and Edge. Use a modern up-to-date browser for best results."
"Is SourceDeck available in languages other than English?","The product UI is currently English. If multi-language support is needed for your team, mention it in a support chat and we will follow up."
"Can I share a workspace with my team?","Multi-user workflow orchestration is an Operator-tier feature. Core and Pro are designed for single-operator or small-team setups where one person manages the workspace."
"How do I add a teammate?","Multi-user orchestration is an Operator-tier capability. Contact Operator support at /quote/operator/ to discuss seats and rollout."
"What email providers does SourceDeck work with?","SourceDeck uses Instantly for outbound sending and needs your email sender domain configured. Your sender mailbox should be warmed — a warmed sender protects deliverability and keeps bounce rate low."
"Do I need my own email sender?","Yes. SourceDeck is bring-your-own-sender. Attach at least one warmed mailbox in campaign setup. Add a second when your daily cap exceeds 25."
"Why should I warm my email sender?","A warmed sender protects deliverability. Cold mailboxes get throttled, land in spam, and destroy your list. SourceDeck's rules (start at 25/day, ramp only if bounces stay under 2%) assume a warmed sender."
"Does SourceDeck come with leads?","No. SourceDeck discovers leads based on the criteria you set. Every workspace ships blank — no seeded lead list, no sample data, no shared database."
"How does SourceDeck find leads?","The discovery engine enforces your criteria on every run — geography, industries, NAICS, exclusions, and email validity. Narrow criteria plus tight email checks produce a clean enrollable queue."
"What happens when a lead replies to a sequence?","Stop-on-reply is on by default. The moment a lead replies, they are removed from automated follow-up. Replies never get a second touch."
"Can I turn off stop-on-reply?","Stop-on-reply is a safety rule that protects your reputation. It can be adjusted, but it is on by default for a reason — changing it blindly risks your sender score."
"Is SourceDeck AI-powered?","SourceDeck uses AI where it helps you see and fix operational leakage faster — lead discovery, pattern recognition across funnels, and content generation when you add an OpenAI or Anthropic key. AI is an option inside SourceDeck, not a substitute for SourceDeck."
"Do I need an OpenAI or Anthropic key?","No. Those are optional. Add a key only if you want AI-assisted features. Core workflow, tracking, and outreach do not require it."
"Who makes SourceDeck?","SourceDeck is an ARCG Systems product. ARCG Systems is the operational intelligence firm that builds and runs it. The legal owner is Ariel's River Contracting Group LLC."
"What is ARCG Systems?","ARCG Systems is the operational intelligence firm behind SourceDeck. ARCG focuses on diagnosing where operations are leaking time, money, visibility, and accountability — then blueprinting and building what should actually be fixed."
"Is SourceDeck the same as ARCG Systems?","No. ARCG Systems is the company. SourceDeck is a SourceDeck-branded product made by ARCG Systems. You can see the relationship in the footer of sourcedeck.app: 'SourceDeck is an ARCG Systems product.'"
"Where can I learn more about ARCG Systems?","Visit arcgsystems.com. The link is in the SourceDeck footer."
"Can I see a demo before buying?","Yes — you can open the demo by going to sourcedeck.app/app/demo, and you can always talk to the in-product chatbot with specific questions. The demo is evaluation-only and is never loaded into a live workspace."
"Can I book a walkthrough?","For Pro and Operator interest, request via /quote/pro/ or /quote/operator/. The team will follow up to schedule."
"How long does it take to set up?","Four steps from blank to first send: open the workspace, connect integrations, set criteria, launch the campaign. Most operators can finish setup in one sitting once their Airtable base, email sender, and Instantly key are ready."
"I am not technical — is SourceDeck for me?","Yes, if you can paste API keys and answer questions about who your customers are. The setup is guided. You do not need to write code. Operator customers get a named operator to help with rollout."
"What if I already use Airtable? Does SourceDeck replace it?","SourceDeck works with Airtable, not instead of it. Connect your Airtable base as the data layer and SourceDeck handles the operating layer on top — lead flow, outreach, funnel health, and revenue tracking."
"What if I already use a CRM?","SourceDeck is a lead command center — it focuses on the tracking, follow-up, and execution layer rather than replacing a full CRM. Many operators run SourceDeck alongside their existing CRM for the visibility and workflow pieces."
"Is SourceDeck a CRM?","Not exactly. SourceDeck is a lead command center for leads, follow-up, and workflow. It does track leads, but its focus is on exposing where the operation breaks — bottlenecks, dropped handoffs, missed follow-up — and fixing that."
"What does 'operating layer' mean?","SourceDeck is an operating layer — it sits over your data and tools and shows you what is moving, what is stalled, and what to fix next. It is not another dashboard on top of a broken process; it is the discipline that makes the process legible."
"My team is chaotic — will SourceDeck help right away?","Yes. Core gives you visibility on day one. Pro adds the alerts and automated handoffs that remove manual coordination. Operator turns the whole operation into a measurable system."
"I am not sure where to start — what do I do?","Start with Core. Set your lead criteria, connect your Airtable and email sender, and run a small campaign. If visibility alone does not fix the slowdown, move up to Pro for automated handoffs. Most operators know within a few weeks whether they need Operator."
"Something in SourceDeck is not working — what do I do?","Open in-product chat. Describe what you did, what happened, and what you expected. The chatbot triages most setup and configuration issues 24/7. If it is an integration-side issue (Airtable, Instantly, email), check that your API key is still valid in Settings."
"I think something is missing or incomplete — how do I report it?","Use in-product chat or contact support through the quote/operator flow. Include your workspace name, what page or feature you were on, and what you expected to see."
"How do I contact SourceDeck support?","Use the chat inside the SourceDeck app, or reach out through sourcedeck.app. For Operator-tier security, DPA, or procurement, use /quote/operator/."
"Is there a knowledge base or help center?","The user manual inside the product is the primary reference. In-product chat handles setup, pricing, and configuration questions. The sourcedeck.app site pages cover what the product is, who it is for, and pricing."
"Can I cancel anytime?","Subscriptions are managed through the Stripe customer portal for card payments, and through the invoice contact for invoice-paid plans. Specific cancellation terms are shown at checkout."
"How do I change my plan?","Open the pricing section on sourcedeck.app and pick the plan you want. If you are on an invoice plan, contact us through the /quote/ flow matching the plan you are moving to."
"Do you offer refunds?","Refund handling is managed case by case through support. Open the in-product chat or reach us via the contact links on sourcedeck.app and we will review."
"Is SourceDeck SOC 2 / HIPAA / GDPR compliant?","Security reviews, DPAs, and procurement requirements are handled through the Operator proposal at /quote/operator/. If you have a specific compliance requirement, mention it in the request and a response will come with the current status and documentation."
"How do you handle my data?","Workspaces are sealed. Keys and leads stay on your device. Exports are opt-in. Logs are workspace-scoped. SourceDeck never ships with prior operator data. See the Customer Data Protection section of the user manual for the complete policy."
"Is SourceDeck open source?","No. SourceDeck is proprietary software produced by ARCG Systems. All rights reserved."
"Can I build on top of SourceDeck?","SourceDeck is a product, not a platform. If you need custom workflow automation around it, that is something ARCG Systems (the parent firm) builds directly. Start the conversation through /quote/operator/."
"Can SourceDeck handle more than one business or brand?","Each workspace is a sealed unit with its own keys, data, and criteria. You can run multiple workspaces; switching workspaces swaps credentials atomically with no cross-contamination."
"Can I run SourceDeck on mobile?","The web app works in mobile browsers at sourcedeck.app/app. The desktop app does not ship a native mobile version."
"How much storage or memory does SourceDeck use?","The desktop app is a standard Electron app. Installers are roughly 90-100 MB. Running memory is typical for an Electron app — budget similar to Slack or Notion."
"Does SourceDeck use my API keys to train models?","No. Your keys are used for your own integration calls only. SourceDeck does not train models on your data."
"Why does the site talk about 'revenue leakage'?","Revenue leakage is what happens when leads, follow-up, and workflow are scattered — deals stall, follow-up dies in inboxes, handoffs drop, and money quietly leaves the operation. SourceDeck is built to expose and close those leaks."
"What does 'three tiers, one operating system' mean?","Three tiers — Core, Pro, Operator — all run on the same SourceDeck operating system. You start with Visibility (Core), add Control (Pro), and graduate to a Revenue System (Operator) when revenue loss is unacceptable."
"Can I upgrade or downgrade later?","Yes. Move between tiers through the pricing page. If you are on an invoice plan, use the /quote/ page matching your new tier."
"I see 'Choose Plan' and 'See How It Works' on the site — what is the difference?","Choose Plan takes you straight to the pricing section to sign up. See How It Works takes you into the feature and workflow explanation further down the page."
"What does 'stop the leak' mean on the site?","It is the core SourceDeck promise: expose where your operation is quietly leaking time, money, and opportunities, and close the gap. Revenue leakage is almost always cheaper to fix than to ignore."
